ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,10uF,490-1664-1-ND,,,,,,,
C5,10uF,490-1664-1-ND,,,,,,,
C6,100uF,399-1170-1-ND,,,,,,,
C7,10uF,490-1664-1-ND,,,,,,,
C8,1mF,565-2754-ND,,,,,,,
C9,1mF,565-2754-ND,,,,,,,
C11,1mF,565-2754-ND,,,,,,,
D1,DIODE,497-7575-1-ND,,,,,,,
D2,DIODESCH,NSR0240HT1GOSCT-ND,,,,,,,
D3,RURG3060CC,,,,,,,,
D5,LED,,,,,,,,
F1,5A,F1460CT-ND,,,,,,,
K1,RELAY_2RT,PB1167-ND,,,,,,,
L1,22uH,SRP1770TA-220MCT-ND,out of stock,,,,,,
M1,16mm,none,,,,,,,
M2,16mm,none,,,,,,,
M3,16mm,none,,,,,,,
P1,CONN_2,WM4300-ND,,,,,,,
P2,CONN_12,S7074-ND,,,,,,,
P3,CONN_2,WM4300-ND,,,,,,,
Q1,MOS_N,497-12940-1-ND,,,,,,,
Q3,IGBT_N,FGA180N33ATDTU-ND,please contact digikey,,,,,,
Q4,IGBT_N,FGA180N33ATDTU-ND,,,,,,,
R1,100kR,311-100KCRCT-ND,,,,,,,
R2,2.2kR,RMCF0805FT2K20CT-ND,,,,,,,
R3,10kR,311-10.0KCRCT-ND,,,,,,,
R4,10kR,311-10.0KCRCT-ND,,,,,,,
R7,100kR,311-100KCRCT-ND,,,,,,,
R8,10kR,311-10.0KCRCT-ND,,,,,,,
R10,160R,311-160CRCT-ND ,,,,,,,
R11,160R,311-160CRCT-ND ,,,,,,,
R12,2kR,696-1169-ND,,,,,,,
R13,2kR,696-1169-ND,,,,,,,
U1,MIC5020,576-1818-5-ND,,,,,,,
U2,MIC5020,576-1818-5-ND,,,,,,,
U3,MIC5020,576-1818-5-ND,,,,,,,
